"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d","educ_category","dem_rep"
"1",417614315,3,1,2,2,1,2,5,3,6,3,1,2,1,3,2,2,2,3,3,5,1,2,1,1,"< 4-yr-Degree","Republican"
"2",415490556,1,2,6,2,1,1,1,1,2,2,3,3,12,3,2,4,3,2,5,5,2,2,2,1,"4-yr-Degree +","Democrat"
"3",414351505,3,2,3,2,2,2,1,4,2,3,1,3,4,3,1,4,2,2,2,2,1,2,1,2,"< 4-yr-Degree","Democrat"
"4",411855339,1,2,5,2,6,2,5,3,3,1,2,1,6,2,1,4,3,3,3,3,2,1,2,1,"4-yr-Degree +","Democrat"
"5",417056957,2,1,2,NA,4,2,8,5,1,1,4,2,4,3,2,4,2,1,1,1,2,2,2,1,"< 4-yr-Degree","Democrat"
"6",420208067,2,1,3,2,1,2,1,1,4,5,4,1,10,1,2,4,2,2,3,2,1,2,1,1,"< 4-yr-Degree","Independent"
"7",412517331,1,1,2,2,1,2,5,5,5,4,3,2,6,3,1,1,3,3,2,2,1,1,1,1,"< 4-yr-Degree","Republican"
"8",412873566,2,2,3,2,1,2,7,1,7,5,1,3,2,3,2,1,2,2,3,5,1,1,1,1,"< 4-yr-Degree","Republican"
"9",412948037,1,1,5,1,1,2,1,1,1,1,4,1,11,2,1,4,3,3,3,5,2,2,2,1,"4-yr-Degree +","Democrat"
"10",413463295,3,1,5,NA,1,2,1,5,1,1,3,1,2,2,2,4,2,2,2,2,2,2,2,1,"4-yr-Degree +","Democrat"
"11",415732156,3,1,6,2,1,2,1,5,6,5,4,4,16,3,2,1,2,3,2,5,2,1,1,2,"4-yr-Degree +","Republican"
"12",416479672,3,2,2,2,1,2,5,4,5,3,1,1,4,3,2,4,2,3,2,5,2,1,2,1,"< 4-yr-Degree","Republican"
"13",412984205,1,2,3,2,1,2,7,1,3,3,2,1,11,3,1,4,3,3,3,3,2,1,2,2,"< 4-yr-Degree","Democrat"
"14",413002690,3,1,6,2,1,2,1,1,6,5,1,1,11,3,1,1,2,2,2,2,1,1,1,1,"4-yr-Degree +","Republican"
"15",414239724,4,1,3,2,3,2,4,5,1,1,3,2,1,3,2,4,1,1,1,3,2,1,2,2,"< 4-yr-Degree","Democrat"
"16",412311163,3,2,3,1,2,2,1,2,1,3,2,3,3,2,1,4,3,5,2,5,2,2,2,1,"< 4-yr-Degree","Democrat"
"17",414204021,2,2,6,1,1,2,9,1,2,1,2,1,11,3,1,4,5,3,2,3,2,1,2,2,"4-yr-Degree +","Democrat"
"18",412931880,4,1,3,2,1,2,1,5,2,1,4,1,9,3,1,4,3,3,3,3,2,1,1,1,"< 4-yr-Degree","Democrat"
"19",412881399,2,2,4,2,1,2,4,5,3,1,4,3,2,3,2,4,2,5,3,2,2,1,2,1,"<4-yr-Degree","Democrat"
"20",412985437,3,2,4,2,1,2,6,3,7,3,1,1,3,2,2,1,2,3,2,2,2,2,1,1,"<4-yr-Degree","Republican"
"21",411855595,1,1,6,2,1,2,1,1,4,3,4,1,10,3,1,4,3,3,3,3,1,1,2,1,"4-yr-Degree +","Independent"
"22",413877573,1,1,5,2,1,2,3,5,3,1,4,1,8,3,2,4,2,3,3,3,2,1,2,1,"4-yr-Degree +","Democrat"
"23",414018801,4,1,6,2,1,2,1,1,6,3,3,1,12,3,2,2,2,2,2,3,1,1,1,1,"4-yr-Degree +","Republican"
"24",413425778,4,2,3,2,1,2,1,5,5,4,3,2,6,3,2,2,3,3,3,3,1,1,2,2,"< 4-yr-Degree","Republican"
"25",413859987,3,2,6,1,1,2,1,1,7,5,1,1,11,3,1,1,2,2,2,2,1,2,2,2,"4-yr-Degree +","Republican"
"26",417838480,3,1,5,2,1,2,1,4,5,1,2,1,7,3,1,1,2,3,2,NA,1,1,1,1,"4-yr-Degree +","Republican"
"27",413456067,3,1,5,2,1,2,6,5,2,1,4,4,6,3,1,4,2,2,2,3,2,1,2,1,"4-yr-Degree +","Democrat"
"28",415423745,1,1,2,NA,1,2,2,5,1,2,4,2,2,3,2,4,3,3,3,1,2,1,1,2,"< 4-yr-Degree","Democrat"
"29",414480371,1,1,5,1,1,2,1,1,4,3,1,1,9,3,1,1,3,3,3,3,1,1,1,1,"4-yr-Degree +","Independent"
"30",413336030,4,2,2,2,3,2,9,5,1,3,3,1,4,1,2,4,3,3,3,5,2,1,2,1,"< 4-yr-Degree","Democrat"
"31",413834979,3,1,5,2,1,2,5,1,4,4,2,1,10,3,1,1,3,3,3,2,1,1,1,1,"4-yr-Degree +","Independent"
"32",412503538,3,1,6,2,1,2,5,1,1,2,3,1,11,2,1,4,2,3,2,2,2,1,2,1,"4-yr-Degree +","Democrat"
"33",413497102,1,2,5,1,2,2,4,1,1,2,4,1,3,3,2,4,3,3,3,3,1,2,2,2,"4-yr-Degree +","Democrat"
"34",413084367,4,1,6,1,1,2,1,1,6,4,1,1,9,3,1,2,2,2,2,3,1,1,1,1,"4-yr-Degree +","Republican"
"35",416814438,2,2,5,2,1,2,6,5,1,1,4,2,2,3,2,4,3,3,3,3,2,1,2,1,"4-yr-Degree +","Democrat"
"36",417149621,3,1,2,2,1,2,1,1,3,3,4,2,8,3,1,4,2,2,2,2,2,1,1,1,"< 4-yr-Degree","Democrat"
"37",412380994,4,2,6,2,1,2,2,4,1,3,4,1,4,3,2,4,2,3,3,2,2,1,2,1,"4-yr-Degree +","Democrat"
